decoder,NMAX,SMAX,seed,nS,selectivity,gstar,gap_DCL,agree_last3,sec_r1plus
carry,2,2,0,1485,0.125,3993823.855624296,0.18412466841346745,0.6994388327721661,12.097376346588135
carry,2,2,1,1485,0.125,3993823.855624296,0.21522071700849535,0.7342312008978675,11.548180341720581
carry,2,2,2,1485,0.125,3993823.855624296,0.07250973199094801,0.7180695847362514,11.52133584022522
carry,2,3,0,5940,0.1111111111111111,4101816.7407918787,0.04781606765893834,0.8212682379349046,22.675895929336548
carry,2,3,1,5940,0.1111111111111111,4101816.7407918787,0.11641481462770983,0.7845117845117845,21.94850993156433
carry,2,3,2,5940,0.1111111111111111,4101816.7407918787,0.13694873861457796,0.8084736251402918,22.57538390159607
carry,2,4,0,19305,0.1,4160185.7470373563,3.3487745857983224e-05,0.9588880255546922,37.618616580963135
carry,2,4,1,19305,0.1,4160185.7470373563,0.0001849758612173891,0.9579038245704913,37.82242226600647
carry,2,4,2,19305,0.1,4160185.7470373563,0.0024350672277278613,0.9002676336009668,37.819191455841064
carry,3,2,0,3520,0.09090909090909091,4233193.82448908,0.1310521396268664,0.7276515151515152,37.39887571334839
carry,3,2,1,3520,0.09090909090909091,4233193.82448908,0.12821713789642217,0.7308712121212121,39.06499528884888
carry,3,2,2,3520,0.09090909090909091,4233193.82448908,0.09502482145292503,0.7634469696969698,36.74144148826599
carry,3,3,0,14080,0.08333333333333333,4344695.30186616,0.0010671934576575838,0.9183001893939394,104.13764977455139
carry,3,3,1,14080,0.08333333333333333,4344695.30186616,0.0006714490889558476,0.9018702651515151,103.91249322891235
carry,3,3,2,14080,0.08333333333333333,4344695.30186616,0.00023667423672544868,0.911624053030303,104.3364987373352
legacy,2,2,0,1485,0.125,3993823.855624249,0.5221744386694243,0.6347923681257015,83.94972538948059
legacy,2,2,1,1485,0.125,3993823.855624296,0.6013571147427973,0.6078563411896746,11.442670583724976
legacy,2,2,2,1485,0.125,3993823.855624296,0.8473304654109739,0.6015712682379349,11.96195101737976
legacy,2,3,0,5940,0.1111111111111111,4101816.7407918903,0.8925094048244195,0.7638047138047138,650.0412843227386
legacy,2,3,1,5940,0.1111111111111111,4101816.7407918787,1.348431373957121,0.7334455667789,22.60227108001709
legacy,2,3,2,5940,0.1111111111111111,4101816.7407918787,1.267480614149187,0.7653759820426487,23.1860032081604
legacy,2,4,0,19305,0.1,4160185.747037372,1.3376734583025065,0.8161788828455495,131.81989550590515
legacy,2,4,1,19305,0.1,4160185.747037356,1.022493961962094,0.8181127514460848,37.49323320388794
legacy,2,4,2,19305,0.1,4160185.7470373563,1.3579727976934672,0.839644306310973,42.84964942932129
legacy,3,2,0,3520,0.09090909090909091,4233193.82448908,2.9263415387611658,0.5641098484848485,49.898746490478516
legacy,3,2,1,3520,0.09090909090909091,4233193.824489081,3.228766820846983,0.5416666666666666,50.22510004043579
legacy,3,2,2,3520,0.09090909090909091,4233193.82448908,2.7983402851014723,0.5549242424242424,49.337499380111694
legacy,3,3,0,14080,0.08333333333333333,4344695.301866161,1.341241931588729,0.6675899621212121,157.7008512020111
legacy,3,3,1,14080,0.08333333333333333,4344695.30186616,1.6506470567318707,0.6623579545454545,103.72614574432373
legacy,3,3,2,14080,0.08333333333333333,4344695.301866162,1.2368768813598319,0.6780066287878789,102.045485496521
