W,model,reg_emp,ratio_emp,sell,fast,pu,hold,scr_sell,scr_ps,scr_hold,handled,fast_rate,prec_rate
4,SM3,R1,0.05,0.259002,0.0,0.0,0.0,0.0,0.0,0.0,0.259002,0.0,0.0
4,쏘울,R1,0.65,0.18511,0.0,0.0,0.0,0.0,0.0,0.0,0.18511,0.0,0.0
4,볼트,R2,1.99,0.0,0.510968,0.045606,0.0,0.083077,0.354094,0.090129,0.556573,0.91806,0.718145
4,코나,R2,2.89,0.0,1.163079,0.020313,0.0,0.264717,0.577634,0.403773,1.183392,0.982835,0.505282
5,SM3,R1,0.05,0.418785,0.0,0.0,0.0,0.0,0.0,0.0,0.418785,0.0,0.0
5,쏘울,R1,0.65,0.252921,0.0,0.0,0.0,0.0,0.0,0.0,0.252921,0.0,0.0
5,볼트,R2,1.99,0.0,0.655903,0.022938,0.0,0.129686,0.431488,0.154229,0.678841,0.96621,0.669415
5,코나,R2,2.89,0.0,1.249282,0.010263,0.0,0.370661,0.534122,0.638878,1.259545,0.991852,0.432207
6,SM3,R1,0.05,0.579968,0.0,0.0,0.0,0.0,0.0,0.0,0.579968,0.0,0.0
6,쏘울,R1,0.65,0.310342,0.0,0.0,0.0,0.0,0.0,0.0,0.310342,0.0,0.0
6,볼트,R2,1.99,0.0,0.758915,0.009561,0.0,0.163725,0.485584,0.494561,0.768476,0.987558,0.644321
6,코나,R2,2.89,0.0,1.298647,0.004343,0.0,0.440526,0.500009,0.676162,1.30299,0.996667,0.387073
7,SM3,R1,0.05,0.731661,0.0,0.0,0.0,0.0,0.0,0.0,0.731661,0.0,0.0
7,쏘울,R1,0.65,0.354983,0.0,0.0,0.0,0.0,0.0,0.0,0.354983,0.0,0.0
7,볼트,R2,1.99,0.0,0.824188,0.003869,0.0,0.190177,0.514978,0.713729,0.828057,0.995328,0.626583
7,코나,R2,2.89,0.0,1.322576,0.001969,0.0,0.478909,0.478956,0.86497,1.324545,0.998513,0.363087
