norm,train_W,eval_W,n,mean_gap_pct,sd_gap_pct,max_gap_pct,same_scale
W정규화(기존),4,4,3,0.0318,0.0066,0.0388,True
W정규화(기존),4,5,3,0.0455,0.0053,0.0493,False
W정규화(기존),4,6,3,0.1208,0.0107,0.1329,False
W정규화(기존),5,4,3,0.4306,0.333,0.7481,False
W정규화(기존),5,5,3,0.0025,0.0015,0.0042,True
W정규화(기존),5,6,3,0.069,0.0054,0.0751,False
W무관(WREF=8),4,4,3,0.0425,0.0193,0.0646,True
W무관(WREF=8),4,5,3,0.1291,0.0632,0.1903,False
W무관(WREF=8),4,6,3,0.326,0.2701,0.6368,False
W무관(WREF=8),5,4,3,0.0519,0.0211,0.0719,False
W무관(WREF=8),5,5,3,0.0058,0.0021,0.0082,True
W무관(WREF=8),5,6,3,0.1283,0.0691,0.208,False
