train_W,eval_W,seed,same_scale,gstar,g_net,gap_pct,train_sec,eval_sec,invariant
4,4,0,True,8045931.399446288,8042807.785895223,0.038822274215267225,10.5,0.0,False
4,5,0,False,8189573.164046615,8186340.043187424,0.03947850265732543,10.5,2.6,False
4,6,0,False,8280432.950735369,8270759.009643394,0.11682892850567764,10.5,28.8,False
4,4,1,True,8045931.399446288,8043872.45854719,0.02558983909855341,10.3,0.0,False
4,5,1,False,8189573.164046615,8185672.953168962,0.047624104449981455,10.3,0.2,False
4,6,1,False,8280432.950735369,8269427.410226705,0.13291020619503757,10.3,3.4,False
4,4,2,True,8045931.399446288,8043428.796586977,0.031103954720307858,10.4,0.0,False
4,5,2,False,8189573.164046615,8185536.049163392,0.049295791152426036,10.4,0.3,False
4,6,2,False,8280432.950735369,8271103.68968294,0.11266634375199223,10.4,3.6,False
5,4,0,False,8045931.399446288,7985736.258760955,0.7481438468326427,73.2,0.0,False
5,5,0,True,8189573.164046615,8189445.729498063,0.0015560584904669237,73.2,0.2,False
5,6,0,False,8280432.950735369,8275064.791127392,0.06482945565666273,73.2,2.9,False
5,4,1,False,8045931.399446288,8008953.437709092,0.4595858440918443,96.3,0.0,False
5,5,1,True,8189573.164046615,8189225.562942744,0.004244434928515535,96.3,0.2,False
5,6,1,False,8280432.950735369,8274879.642759609,0.06706543013872905,96.3,2.9,False
5,4,2,False,8045931.399446288,8039177.086166012,0.08394694094385204,89.6,0.0,False
5,5,2,True,8189573.164046615,8189423.624393918,0.0018259761492118076,89.6,0.2,False
5,6,2,False,8280432.950735369,8274215.891741895,0.07508132763663673,89.6,3.1,False
