train_W,eval_W,seed,same_scale,gstar,g_net,gap_pct,train_sec,eval_sec,invariant
4,4,0,True,8045931.399446288,8043265.711158613,0.03313088510621443,10.7,0.0,True
4,5,0,False,8189573.164046615,8184325.053062787,0.06408283897954575,10.7,2.6,True
4,6,0,False,8280432.950735369,8268107.570931559,0.1488494608571735,10.7,23.9,True
4,4,1,True,8045931.399446288,8043546.627228397,0.029639479874950168,10.4,0.0,True
4,5,1,False,8189573.164046615,8178687.925091747,0.13291582768508506,10.4,0.3,True
4,6,1,False,8280432.950735369,8264514.310873182,0.19224405241725318,10.4,3.6,True
4,4,2,True,8045931.399446288,8040730.331373163,0.06464221250362,10.7,0.0,True
4,5,2,False,8189573.164046615,8173991.725325639,0.19025947273272706,10.7,0.2,True
4,6,2,False,8280432.950735369,8227701.975824686,0.6368142248648975,10.7,3.4,True
5,4,0,False,8045931.399446288,8041582.33447208,0.05405297110173796,71.8,0.0,True
5,5,0,True,8189573.164046615,8189200.443001085,0.004551165708692845,71.8,0.2,True
5,6,0,False,8280432.950735369,8273385.646759033,0.0851079166785561,71.8,3.3,True
5,4,1,False,8045931.399446288,8040149.365679672,0.0718628270558465,81.3,0.0,True
5,5,1,True,8189573.164046615,8188897.888750987,0.008245549335743025,81.3,0.2,True
5,6,1,False,8280432.950735369,8263206.4534690445,0.20803860581703504,81.3,3.2,True
5,4,2,False,8045931.399446288,8043530.88374994,0.029835149930720162,73.0,0.0,True
5,5,2,True,8189573.164046615,8189195.212865285,0.004615029059023213,73.0,0.2,True
5,6,2,False,8280432.950735369,8272824.987704192,0.09187880726092745,73.0,3.0,True
